mês/ano,IGPM,IPCA,Diferença
ago/02,11.01,7.46,3.55
jul/02,9.99,7.51,2.48
jun/02,9.48,7.66,1.82
mai/02,8.88,7.77,1.11
abr/02,8.92,7.98,0.94
mar/02,9.40,7.75,1.65
fev/02,9.92,7.51,2.40
jan/02,10.10,7.62,2.48
dez/01,10.38,7.67,2.71
nov/01,10.84,7.61,3.23
out/01,9.95,7.19,2.75
set/01,9.08,6.46,2.62
ago/01,10.01,6.41,3.60
jul/01,11.09,7.05,4.05
jun/01,11.19,7.35,3.85
mai/01,11.05,7.04,4.02
abr/01,10.44,6.61,3.83
mar/01,9.60,6.44,3.16
fev/01,9.15,6.27,2.88
jan/01,9.29,5.92,3.36
dez/00,9.95,5.97,3.98
nov/00,11.24,5.99,5.25
out/00,13.57,6.65,6.92
set/00,15.06,7.77,7.29
ago/00,15.39,7.86,7.53
jul/00,14.46,7.06,7.40
jun/00,14.43,6.51,7.92
mai/00,13.87,6.47,7.41
abr/00,13.20,6.77,6.42
mar/00,13.74,6.92,6.82
fev/00,16.78,7.86,8.92
jan/00,20.58,8.85,11.72
dez/99,20.10,8.94,11.16
nov/99,18.50,8.65,9.85
out/99,15.37,7.50,7.87
set/99,13.52,6.25,7.27
ago/99,11.81,5.69,6.12
jul/99,9.92,4.57,5.36
jun/99,8.07,3.32,4.75
mai/99,8.09,3.14,4.95
abr/99,8.55,3.35,5.20
mar/99,7.92,3.02,4.90
fev/99,5.14,2.24,2.90
jan/99,1.66,1.65,0.01
dez/98,1.78,1.65,0.13
nov/98,2.18,1.76,0.42
out/98,3.16,2.05,1.11
set/98,3.45,2.27,1.19
ago/98,4.04,2.55,1.49
jul/98,4.30,3.06,1.24
jun/98,4.57,3.41,1.16
mai/98,4.95,3.95,1.00
abr/98,5.03,3.85,1.18
mar/98,5.61,4.52,1.09
fev/98,6.62,4.69,1.93
jan/98,6.89,4.73,2.15
dez/97,7.74,5.22,2.52
nov/97,7.63,5.27,2.36
out/97,7.16,5.42,1.73
set/97,6.97,5.50,1.47
ago/97,6.56,5.59,0.97
jul/97,6.76,6.08,0.68
jun/97,8.10,7.02,1.08
mai/97,8.39,7.71,0.68
abr/97,9.84,8.58,1.26
mar/97,9.46,8.99,0.47
fev/97,8.65,8.82,-0.17
jan/97,9.24,9.39,-0.16
dez/96,9.20,9.56,-0.37
nov/96,9.18,10.75,-1.57
